OBJECTID,CSA2010,bahigher11,bahigher12,bahigher13,bahigher14,bahigher15,bahigher16,bahigher17,bahigher18,bahigher19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,11.8139864153831,10.9764717762294,11.7282066931136,11.56,10.9558681826942,9.93679122513478,9.9214846538187,9.288876841059,11.62898874,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,22.4893330151533,22.3453152622275,23.85477582846,24.31,24.5974955277281,22.9465731246627,24.6336895450038,24.3658810325476,24.83667493,47882527.7110596,37524.9505334171
3,Belair-Edison,11.2391090461875,14.0128575421597,15.3667379380868,15.34,17.3743289409468,18.6011053935582,16.6530463997094,17.2315121166055,15.77951905,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,6.35388281794932,6.35064640508052,6.09048088509147,5.86,6.56273847160144,6.36301213092241,8.42810966119956,9.01225666906993,9.524370144,176077742.748718,150987.703638772
5,Canton,60.7391275611368,61.1945169712794,63.6573007830493,63.7,67.4311243484736,69.3212799540824,70.1764211705404,71.1903064861012,75.16358068,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,13.793996514105,11.85367114788,12.7131377801006,14.4,16.0027133695116,18.1429827867823,17.9540581929555,18.4898822108124,16.7202381,71541340.3063965,39962.5498347165
7,Cherry Hill,5.07559848803024,7.14881200500208,7.37367165473867,8.06,11.2783644124916,12.0962199312715,10.4343931930138,11.4616870573084,11.48908858,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,34.8252110740232,33.9267853570714,34.4228382292098,32.59,36.734693877551,34.4696314241218,34.1483561870147,31.7190506735086,30.98921707,21022590.1307373,21705.411630344
9,Claremont/Armistead,9.43144817355832,8.68425977915029,11.0435103244838,15.52,15.4194156456173,13.778256189451,13.3129716133668,13.088384693532,9.176394293,61243774.4211426,40104.415980189
10,Clifton-Berea,7.83614654890416,8.37055417700579,7.20705997712044,6.59,7.6696675900277,8.58324715615305,10.3792088917947,12.0754716981132,12.97814208,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,50.0624421502314,52.1665456305979,55.3129548762737,55.72,55.1990898748578,54.353782013103,53.0698573845782,49.8437319134159,50.05828865,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,15.7,20.7103123662816,20.0869565217391,24.26,25.2320675105485,27.5441547518923,25.6597645148193,26.184355490268,25.39325843,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,21.7157768733541,18.1862035697057,16.6785629312396,15.54,13.6688841471068,16.2091011658518,19.3308550185873,17.2031344183242,17.14024877,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,62.8667299477931,65.2542372881356,63.7626559924653,63.98,63.1435079726651,66.8952618453865,68.2055399437976,70.6899941026145,68.84278304,20736554.4064941,21565.859394559
15,Edmondson Village,9.33270746018441,9.23629829290207,8.49744711889132,8.04,8.30407303370787,11.5113256591162,12.7957772115034,14.6151053013798,15.06581288,23563061.0443115,21504.551357829
16,Fells Point,60.5673865797338,63.6219849742981,63.3875646361458,65.37,68.2029385909833,72.2322580645161,73.3672172808132,74.4968991266928,76.98168694,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,20.3460245837872,19.9421500883818,17.580059425553,18.31,18.146049732452,20.7208565827175,19.6892655367231,19.6318228630278,20.46697799,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,28.0432989690722,25.5006430277421,25.210298241142,24.78,25.2251486830926,27.4429386590585,28.6400147724125,28.8284910965323,29.04114796,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,47.170305242203,46.2243050378102,43.7776304155615,46.88,51.2357026143791,51.417711115677,53.1138880422635,53.3872399171679,55.48738248,27051213.4559937,26454.2692113332
20,Greater Govans,13.642142553493,14.2492917847026,16.2922945692351,17.43,15.9647125782584,17.5786119961213,18.1555799890049,18.7145557655954,18.32541236,22698495.7178955,22982.125714974
21,Greater Mondawmin,15.5611712869469,14.4290404961693,14.5783948526922,13.73,14.1825683341929,14.9877949552482,15.8565601631543,18.2350150245136,18.63776088,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,76.5811405985319,75.4334732615441,79.1856026177059,79,80.424660085677,81.798205456876,81.9405496354458,81.8024928092042,82.42669753,56688145.1790161,39862.7497953118
23,Greater Rosemont,7.54914213473,7.77244315608298,7.86290322580645,9.84,9.43157484913374,9.76188303986862,9.62431035992643,8.93116096562313,6.292487363,42204384.5406494,32559.0762211491
24,Greenmount East,5.36846997583194,4.48454529212078,5.70494186046512,6.08,8.23320858774867,8.5375191424196,11.225909000596,12.3855890944498,12.30799527,19072287.8240967,20797.4734578598
25,Hamilton,26.755292526209,26.3711846567653,27.3370619792261,24.75,28.9222672952527,29.8566703417861,31.0473948860597,32.3824041811846,33.5628033,45191100.5593872,27712.1110915054
